userId,movieId,rating,timestamp,movie_title,user_name
1,2,3.5,1112486027,Jumanji (1995),Michael
1,29,3.5,1112484676,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Michael
1,32,3.5,1112484819,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Michael
1,47,3.5,1112484727,Seven (a.k.a. Se7en) (1995),Michael
1,50,3.5,1112484580,"Usual Suspects, The (1995)",Michael
1,112,3.5,1094785740,Rumble in the Bronx (Hont faan kui) (1995),Michael
1,151,4.0,1094785734,Rob Roy (1995),Michael
1,223,4.0,1112485573,Clerks (1994),Michael
1,253,4.0,1112484940,Interview with the Vampire: The Vampire Chronicles (1994),Michael
1,260,4.0,1112484826,Star Wars: Episode IV - A New Hope (1977),Michael
1,293,4.0,1112484703,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Michael
1,296,4.0,1112484767,Pulp Fiction (1994),Michael
1,318,4.0,1112484798,"Shawshank Redemption, The (1994)",Michael
1,337,3.5,1094785709,What's Eating Gilbert Grape (1993),Michael
1,367,3.5,1112485980,"Mask, The (1994)",Michael
1,541,4.0,1112484603,Blade Runner (1982),Michael
1,589,3.5,1112485557,Terminator 2: Judgment Day (1991),Michael
1,593,3.5,1112484661,"Silence of the Lambs, The (1991)",Michael
1,653,3.0,1094785691,Dragonheart (1996),Michael
1,919,3.5,1094785621,"Wizard of Oz, The (1939)",Michael
1,924,3.5,1094785598,2001: A Space Odyssey (1968),Michael
1,1009,3.5,1112486013,Escape to Witch Mountain (1975),Michael
1,1036,4.0,1112485480,Die Hard (1988),Michael
1,1079,4.0,1094785665,"Fish Called Wanda, A (1988)",Michael
1,1080,3.5,1112485375,Monty Python's Life of Brian (1979),Michael
1,1089,3.5,1112484669,Reservoir Dogs (1992),Michael
1,1090,4.0,1112485453,Platoon (1986),Michael
1,1097,4.0,1112485701,E.T. the Extra-Terrestrial (1982),Michael
1,1136,3.5,1112484609,Monty Python and the Holy Grail (1975),Michael
1,1193,3.5,1112484690,One Flew Over the Cuckoo's Nest (1975),Michael
1,1196,4.5,1112484742,Star Wars: Episode V - The Empire Strikes Back (1980),Michael
1,1198,4.5,1112484624,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Michael
1,1200,4.0,1112484560,Aliens (1986),Michael
1,1201,3.0,1112484642,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Michael
1,1208,3.5,1112484815,Apocalypse Now (1979),Michael
1,1214,4.0,1094785977,Alien (1979),Michael
1,1215,4.0,1094786082,Army of Darkness (1993),Michael
1,1217,3.5,1112484810,Ran (1985),Michael
1,1219,4.0,1094785994,Psycho (1960),Michael
1,1222,3.5,1112484637,Full Metal Jacket (1987),Michael
1,1240,4.0,1112485401,"Terminator, The (1984)",Michael
1,1243,3.0,1112485567,Rosencrantz and Guildenstern Are Dead (1990),Michael
1,1246,3.5,1094785759,Dead Poets Society (1989),Michael
1,1249,4.0,1112485382,"Femme Nikita, La (Nikita) (1990)",Michael
1,1258,4.0,1094785994,"Shining, The (1980)",Michael
1,1259,4.0,1112485440,Stand by Me (1986),Michael
1,1261,3.5,1094786113,Evil Dead II (Dead by Dawn) (1987),Michael
1,1262,3.5,1112484735,"Great Escape, The (1963)",Michael
1,1266,4.0,1112485371,Unforgiven (1992),Michael
1,1278,4.0,1094785986,Young Frankenstein (1974),Michael
1,1291,3.5,1112485525,Indiana Jones and the Last Crusade (1989),Michael
1,1304,3.0,1094785720,Butch Cassidy and the Sundance Kid (1969),Michael
1,1321,4.0,1094786062,"American Werewolf in London, An (1981)",Michael
1,1333,4.0,1112484990,"Birds, The (1963)",Michael
1,1348,3.5,1094786056,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Michael
1,1350,3.5,1094786158,"Omen, The (1976)",Michael
1,1358,4.0,1112485419,Sling Blade (1996),Michael
1,1370,3.0,1094785764,Die Hard 2 (1990),Michael
1,1374,4.0,1094785746,Star Trek II: The Wrath of Khan (1982),Michael
1,1387,4.0,1112484913,Jaws (1975),Michael
1,1525,3.0,1112486150,Warriors of Virtue (1997),Michael
1,1584,3.5,1094785656,Contact (1997),Michael
1,1750,3.5,1112486201,Star Kid (1997),Michael
1,1848,3.5,1112486032,"Borrowers, The (1997)",Michael
1,1920,3.5,1112486098,Small Soldiers (1998),Michael
1,1967,4.0,1112485739,Labyrinth (1986),Michael
1,1994,3.5,1094786087,Poltergeist (1982),Michael
1,1997,3.5,1094786034,"Exorcist, The (1973)",Michael
1,2021,4.0,1112485929,Dune (1984),Michael
1,2100,4.0,1112485955,Splash (1984),Michael
1,2118,4.0,1094786092,"Dead Zone, The (1983)",Michael
1,2138,4.0,1112485789,Watership Down (1978),Michael
1,2140,4.0,1112485705,"Dark Crystal, The (1982)",Michael
1,2143,4.0,1112485951,Legend (1985),Michael
1,2173,4.0,1112485887,"Navigator: A Mediaeval Odyssey, The (1988)",Michael
1,2174,4.0,1112485843,Beetlejuice (1988),Michael
1,2193,4.0,1112485753,Willow (1988),Michael
1,2194,3.5,1112485486,"Untouchables, The (1987)",Michael
1,2253,3.5,1112486122,Toys (1992),Michael
1,2288,4.0,1094786077,"Thing, The (1982)",Michael
1,2291,4.0,1094785777,Edward Scissorhands (1990),Michael
1,2542,4.0,1112485447,"Lock, Stock & Two Smoking Barrels (1998)",Michael
1,2628,4.0,1112485988,Star Wars: Episode I - The Phantom Menace (1999),Michael
1,2644,3.5,1112484994,Dracula (1931),Michael
1,2648,3.5,1094786017,Frankenstein (1931),Michael
1,2664,3.5,1094786148,Invasion of the Body Snatchers (1956),Michael
1,2683,3.5,1094785650,Austin Powers: The Spy Who Shagged Me (1999),Michael
1,2692,3.5,1112484749,Run Lola Run (Lola rennt) (1998),Michael
